eBike,Pos,No.,Name,Team,Class,Time,Behind,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Stage 1  : Best,,Run 1,Run 2,Run 3,Run 4,Run 5,,Stage 2: Best,Run 1,Run 2,Run 3,Run 4,,,Stage 3: Best,,,,,,,,,,,,,,,,,,
0,39th,19,James Jones, ,Manual | Male U18,05:13.5,+0:41.05,01:57.8, , , , , ,01:57.8,64th,+0:20.29,02:42.7,02:10.0, , , ,02:10.0,34th,+0:15.71,01:06.9,01:05.8, , ,01:05.8,23rd,+0:07.29,,,,,,,,,,,,,,,,
0,40th,229,John Morgan,Risca Riders,Manual | Male Grand Vet,05:13.8,+0:41.34,02:10.3,02:02.7,01:57.6, , , ,01:57.6,62nd,+0:20.10,02:36.2,02:20.6,02:09.0,02:12.3, ,02:09.0,25th,+0:14.75,01:08.3,01:08.4,01:07.2, ,01:07.2,32nd=,+0:08.73,,,,,,,,,,,,,,,,
0,41st,98,Richie HillInstagram, ,Manual | Male Elite,05:13.8,+0:41.35,02:02.6,02:05.7,01:52.9, , , ,01:52.9,36th,+0:15.40,02:35.0,02:14.9,02:12.5, , ,02:12.5,48th,+0:18.30,01:11.9,01:08.3, , ,01:08.3,43rd,+0:09.89,,,,,,,,,,,,,,,,
0,42nd,279,Charlie Toomer,Pinned TV,Manual | Male U14,05:14.6,+0:42.16,02:04.3,01:54.2,01:55.9, , , ,01:54.2,43rd,+0:16.65,02:20.5,02:11.7, , , ,02:11.7,42nd,+0:17.40,01:08.8, , , ,01:08.8,48th=,+0:10.35,,,,,,,,,,,,,,,,
0,43rd,166,Tim BakerInstagram, ,Manual | Male U18,05:14.7,+0:42.27,02:00.5,01:56.4,01:54.2, , , ,01:54.2,44th,+0:16.69,02:31.4,02:11.6, , , ,02:11.6,41st,+0:17.34,01:10.3,01:09.3,01:08.9, ,01:08.9,51st,+0:10.48,,,,,,,,,,,,,,,,
0,44th,308,Emily AshwoodInstagram, ,Manual | Female Elite,05:15.1,+0:42.64,02:00.1,01:58.6,01:55.6,01:59.3, , ,01:55.6,52nd,+0:18.05,02:26.1,02:16.9,02:12.1, , ,02:12.1,44th,+0:17.85,01:08.2,01:08.4,01:07.4, ,01:07.4,37th,+0:08.98,,,,,,,,,,,,,,,,
0,45th,258,Tom Cleall, ,Manual | Male Senior,05:15.4,+0:42.94,02:11.7,01:55.1, , , , ,01:55.1,47th=,+0:17.64,02:25.0,02:13.8,02:30.9,02:10.5, ,02:10.5,37th,+0:16.21,01:09.8,01:09.8, , ,01:09.8,58th,+0:11.33,,,,,,,,,,,,,,,,
0,46th,122,Emrys Cook,Wye Tipi Camping,Manual | Male Master,05:16.3,+0:43.89,02:06.5,01:58.1,01:57.1, , , ,01:57.1,61st,+0:19.59,02:31.8,02:17.3,02:11.1, , ,02:11.1,40th,+0:16.85,01:13.4,01:08.2, , ,01:08.2,41st,+0:09.69,,,,,,,,,,,,,,,,
0,47th,123,Mark SnookFacebook, ,Manual | Male Hardtail,05:16.9,+0:44.40,02:12.8,01:59.2,01:58.7, , , ,01:58.7,68th,+0:21.18,02:20.9,02:13.3,02:09.4, , ,02:09.4,27th,+0:15.11,01:11.1,01:22.0,01:08.8, ,01:08.8,48th=,+0:10.35,,,,,,,,,,,,,,,,
0,48th,273,Max HigginsonInstagram,OffTheBrakes,Manual | Male Elite,05:17.1,+0:44.60,02:37.8,01:56.9,01:51.8,01:58.5,01:49.3, ,01:49.3,20th,+0:11.74,02:16.5, , , , ,02:16.5,62nd,+0:22.21,01:11.4, , , ,01:11.4,72nd,+0:12.89,,,,,,,,,,,,,,,,
0,49th,124,Dominic Jones, ,Manual | Male Veteran,05:17.1,+0:44.66,02:05.3,01:58.4,01:59.0,01:55.4, , ,01:55.4,49th,+0:17.85,02:18.3,02:14.6,02:14.4, , ,02:14.4,53rd,+0:20.11,01:10.4,01:07.4, , ,01:07.4,36th,+0:08.94,,,,,,,,,,,,,,,,
0,50th,263,Thomas GrundyInstagram, ,Manual | Male Master,05:17.3,+0:44.80,02:10.2,03:21.1,01:54.5, , , ,01:54.5,45th,+0:16.99,02:26.9,02:13.7,02:16.3, , ,02:13.7,50th,+0:19.41,01:14.6,01:09.1,02:29.7, ,01:09.1,52nd,+0:10.64,,,,,,,,,,,,,,,,
0,51st,365,Rubin PassbergerInstagram, ,Manual | Male Senior,05:17.7,+0:45.20,04:10.7,01:57.1,01:54.1, , , ,01:54.1,42nd,+0:16.59,02:27.1,02:16.6, , , ,02:16.6,63rd,+0:22.31,01:10.7,01:07.0,01:08.4, ,01:07.0,31st,+0:08.54,,,,,,,,,,,,,,,,
0,52nd,149,Matt Sinclair, ,Manual | Male Master,05:19.1,+0:46.64,02:05.2,01:55.5, , , , ,01:55.5,51st,+0:18.03,02:22.9,02:15.2, , , ,02:15.2,55th,+0:20.95,01:10.7,01:08.4, , ,01:08.4,44th,+0:09.90,,,,,,,,,,,,,,,,
0,53rd,16,Harvey Coates, ,Manual | Male Elite,05:20.3,+0:47.85,02:21.9,02:04.0,01:57.7, , , ,01:57.7,63rd,+0:20.15,02:18.7,02:12.9,02:12.4, , ,02:12.4,46th,+0:18.15,01:22.9,01:10.3, , ,01:10.3,61st,+0:11.79,,,,,,,,,,,,,,,,
0,54th,350,Barry Fenton,Rapidas,Manual | Male Veteran,05:20.6,+0:48.13,02:01.3,01:56.9, , , , ,01:56.9,59th,+0:19.39,02:36.9,02:15.5,02:12.5, , ,02:12.5,47th,+0:18.29,01:12.3,01:11.1,01:11.4, ,01:11.1,68th=,+0:12.69,,,,,,,,,,,,,,,,
0,55th,30,Will Rowlands, ,Manual | Male Master,05:20.6,+0:48.19,02:05.2,02:08.9,01:55.4, , , ,01:55.4,50th,+0:17.89,02:45.1,02:18.2,02:15.7, , ,02:15.7,56th,+0:21.44,01:09.6,01:15.8,01:11.1, ,01:09.6,54th=,+0:11.10,,,,,,,,,,,,,,,,
0,56th,111,Ian Davies, ,Manual | Male Veteran,05:22.5,+0:50.00,02:02.2,01:56.7,01:53.3,01:55.4,01:54.1, ,01:53.3,38th,+0:15.78,02:28.7,02:19.0,02:19.3,02:44.5, ,02:19.0,72nd=,+0:24.71,01:12.3,01:10.2, , ,01:10.2,60th,+0:11.75,,,,,,,,,,,,,,,,
0,57th,42,Laurence Mccormick,Navy Cycling,Manual | Male Master,05:22.8,+0:50.29,02:05.9,01:56.8, , , , ,01:56.8,57th,+0:19.29,02:41.1,02:16.6, , , ,02:16.6,64th,+0:22.35,01:14.5,01:09.4, , ,01:09.4,53rd,+0:10.89,,,,,,,,,,,,,,,,
0,58th,212,Matthew Steddy, ,Manual | Male Senior,05:23.0,+0:50.53,02:02.0,01:56.8,02:42.7, , , ,01:56.8,58th,+0:19.34,02:56.3,02:18.0, , , ,02:18.0,68th,+0:23.70,01:12.2,01:08.2, , ,01:08.2,42nd,+0:09.73,,,,,,,,,,,,,,,,
0,59th,276,Fleur Ter KuileInstagram,Starling/Friction Cycles,Manual | Female Elite,05:23.9,+0:51.45,02:09.1,01:59.5,01:58.3, , , ,01:58.3,65th,+0:20.74,02:22.7,02:18.1,02:16.1, , ,02:16.1,57th,+0:21.81,01:12.3,01:09.6, , ,01:09.6,56th,+0:11.14,,,,,,,,,,,,,,,,
